points:13930
item74
item724
item686
item590
item390
item917
item275
item540
item459
item108
item42
item593
item579
item749
item537
item500
item39
item763
item179
item416
item71
item292
item669
item344
item962
item909
item662
item284
item482
item736
item728
item66
item502
item138
item953
item319
item159
item79
item568
item606
item868
item642
item404
item436
item402
item445
item361
item972
item190
item596
item219
item303
item525
item599
item670
item545
item968
item890
item714
item413
item923
item711
item490
item435
item272
item465
item915
item302
item608
item659
item857
item414
item280
item635
item181
item803
item245
item894
item384
item679
item964
item31
item314
item694
item768
item335
item312
item729
item337
item690
item236
item616
item350
item771
item981
item238
item188
item576
item53
item601
item564
item479
item907
item489
item324
item810
item821
item388
item776
item947
item460
item578
item852
item546
item336
item735
item744
item313
item222
item854
item790
item471
item508
item469
item722
item648
item586
item754
item762
item892
item340
item107
item484
item934
item210
item515
item748
item928
item407
item353
item256
item323
item739
item355
item214
item519
item81
item789
item331
item767
item897
item941
item554
item271
item849
item552
item116
item56
item23
item951
item541
item592
item127
item151
item202
item492
item242
item278
item463
item115
item33
item998
item260
item961
item443
item663
item169
item784
item400
item908
item684
item307
item745
item848
item938
item501
item285
item707
item362
item178
item421
item279
item234
item978
item483
item979
item732
item651
item226
item963
item528
item685
item485
item847
item209
item453
item565
item863
item264
item977
item932
item573
item904
item233
item742
item952
item241
item986
item215
item855
item235
item618
item21
item174
item367
item801
item687
item580
item634
item695
item405
item444
item640
item692
item267
item200
item332
item814
item812
item913
item289
item509
item475
item73
item293
item125
item197
item624
item401
item467
item433
item391
item440
item813
item320
item842
item595
item980
item1
item969
item121
item452
item673
item807
item213
item98
item853
item955
item220
item154
item619
item326
item243
item386
item282
item195
item372
item96
item751
item412
item237
item623
item550
item380
item322
item170
item891
item494
item544
item217
item995
item582
item510
item399
item129
item615
item86
item117
item905
item473
item315
item150
item488
item770
item644
item700
item627
item553
item631
item558
item527
item7
item834
item529
item3
item145
item643
item866
item106
item991
item653
item677
item920
item885
item989
item614
item318
item61
item702
item478
item466
item298
item665
item976
item517
item881
item674
item994
item939
item100
item660
item831
item80
item487
item30
item442
item667
item622
item860
item258
item827
item166
item930
item24
item295
item198
item288
item561
item931
item253
item708
item310
item835
item716
item212
item142
item738
item283
item974
item88
item368
item354
item809
item865
item499
item910
item252
item756
item369
item152
item664
item524
item587
item893
item725
item338
item743
item496
item753
item727
item566
item105
item286
item172
item153
item357
item321
item41
item75
item171
item901
item25
item454
item610
item535
item597
item257
item228
item829
item719
item328
item781
item898
item900
item134
item518
item139
item817
item806
item935
item861
item681
item432
item383
item987
item600
item48
item555
item341
item705
item347
item760
item196
item158
item327
item434
item103
item559
item187
item944
item447
item437
item403
item715
item646
item28
item363
item277
item430
item419
item82
item637
item574
item9
item959
item449
item560
item966
item157
item291
item377
item122
item747
item647
item49
item70
item850
item457
item805
item183
item333
item699
item570
item983
item731
item114
item531
item8
item13
item858
item87
item775
item373
item64
item902
item378
item93
item730
item620
item311
item67
item946
item960
item841
item218
item514
item38
item970
item247
item17
item942
item871
item193
item757
item76
item439
item819
item940
item534
item718
item72
item506
item626
item563
item875
item752
item297
item65
item617
item351
item356
item474
item441
item175
item689
item244
item317
item161
item221
item364
item231
item927
item603
item352
item655
item833
item985
item44
item588
item392
item36
item420
item325
item132
item246
item360
item481
item417
item911
item55
item20
item365
item734
item691
item43
item486
item464
item645
item423
item958
item774
item746
item950
item797
item996
item265
item878
item306
item845
item162
item251
item450
item511
item543
item345
item46
item232
item929
item520
item431
item874
item480
item709
item791
item415
item658
item726
item654
item224
item497
item688
item678
item864
item137
item799
item104
item895
item625
item507
item706
item428
item569
item422
item513
item836
item567
item370
item97
item239
item57
item824
item710
item758
item176
item629
item811
item131
item683
item45
item167
item281
item632
item656
item740
item839
item194
item676
item34
item999
item826
item316
item156
item248
item424
item263
item111
item532
item919
item274
item147
item761
item358
item786
item503
item273
item697
item387
item639
item112
item886
item956
item398
item149
item118
item759
item764
item85
item630
item89
item14
item184
item536
item304
item948
item539
item971
item1000
item844
item604
item50
item207
item90
item512
item984
item300
item155
item526
item83
item204
item180
item779
item778
item899
item840
item802
item713
item787
item240
item602
item22
item495
item997
item557
item498
item493
item266
item698
item607
item675
item924
item268
